date,content
22/03/2020,"('quarantine', 122)
('people', 45)
('i’m', 28)
('trump', 22)
('day', 20)
('stay', 19)
('good', 18)
('can’t', 15)
('help', 14)
('#covid19', 14)
('gonna', 14)
('#socialdistancing', 13)
('it’s', 13)
('mask', 12)
('mom', 11)
('shit', 11)
('#quarantine', 11)
('watch', 11)
('positive', 10)
('great', 10)
"
23/03/2020,"('quarantine', 125)
('day', 54)
('people', 49)
('i’m', 32)
('trump', 26)
('#covid19', 23)
('@realdonaldtrump', 20)
('work', 20)
('love', 14)
('it’s', 14)
('#quarantine', 12)
('stay', 12)
('shit', 11)
('help', 11)
('mask', 11)
('making', 11)
('good', 11)
('social', 10)
('face', 10)
('chinese', 9)
"
24/03/2020,"('quarantine', 117)
('people', 36)
('i’m', 33)
('day', 31)
('#covid19', 29)
('stay', 25)
('it’s', 24)
('#quarantine', 17)
('2', 15)
('mask', 14)
('help', 14)
('work', 13)
('trump', 12)
('quarantine:', 12)
('can’t', 11)
('good', 11)
('gonna', 10)
('shit', 10)
('spread', 9)
('better', 9)
"
25/03/2020,"('quarantine', 121)
('people', 37)
('i’m', 36)
('day', 29)
('#covid19', 26)
('it’s', 19)
('stay', 19)
('good', 17)
('#quarantine', 16)
('mask', 15)
('cases', 14)
('feel', 12)
('trump', 12)
('today', 12)
('working', 12)
('work', 11)
('gonna', 11)
('#covid_19', 11)
('i’ve', 11)
('we’re', 10)
"
26/03/2020,"('quarantine', 127)
('day', 45)
('people', 45)
('i’m', 28)
('it’s', 24)
('cases', 22)
('shit', 21)
('#covid19', 20)
('number', 19)
('#quarantine', 18)
('good', 16)
('stay', 13)
('mask', 12)
('today', 12)
('you’re', 11)
('health', 10)
('quarantine:', 10)
('china', 10)
('live', 9)
('best', 9)
"
27/03/2020,"('quarantine', 107)
('people', 37)
('day', 30)
('it’s', 20)
('mask', 16)
('stay', 15)
('i’m', 14)
('y’all', 14)
('#covid19', 12)
('positive', 12)
('trump', 12)
('shit', 12)
('2', 11)
('start', 11)
('good', 11)
('#coronalockdown', 11)
('today', 11)
('days', 10)
('order', 10)
('help', 10)
"
28/03/2020,"('quarantine', 122)
('#covid_19', 37)
('day', 30)
('people', 29)
('i’m', 28)
('#quarantine', 20)
('can’t', 17)
('it’s', 16)
('good', 15)
('hope', 13)
('help', 12)
('mask', 12)
('y’all', 12)
('@realdonaldtrump', 12)
('i’ve', 11)
('god', 11)
('won’t', 11)
('shit', 11)
('stay', 10)
('today', 10)
"
29/03/2020,"('quarantine', 127)
('i’m', 47)
('people', 40)
('#covid_19', 31)
('day', 31)
('it’s', 17)
('trump', 17)
('life', 17)
('quarantine.', 16)
('#quarantine', 16)
('week', 15)
('good', 14)
('can’t', 14)
('stay', 14)
('april', 14)
('mask', 13)
('love', 13)
('today', 13)
('cases', 12)
('gonna', 12)
"
30/03/2020,"('quarantine', 127)
('day', 32)
('i’m', 29)
('people', 26)
('it’s', 26)
('mask', 25)
('#quarantine', 19)
('cases', 17)
('stay', 16)
('#covid19', 14)
('good', 13)
('shit', 13)
('life', 13)
('help', 13)
('love', 13)
('#covid_19', 11)
('2', 11)
('trump', 10)
('3', 10)
('days', 10)
"
31/03/2020,"('quarantine', 120)
('day', 32)
('people', 31)
('i’m', 30)
('trump', 21)
('#quarantine', 19)
('stay', 19)
('it’s', 15)
('good', 14)
('3', 13)
('pandemic', 13)
('mask', 13)
('health', 13)
('safe', 12)
('#stayhome', 12)
('#covid19', 12)
('2', 11)
('deaths', 11)
('thought', 11)
('positive', 11)
"
01/04/2020,"('quarantine', 127)
('i’m', 40)
('day', 39)
('people', 37)
('it’s', 19)
('#quarantine', 19)
('help', 15)
('mask', 14)
('hope', 12)
('good', 12)
('stay', 12)
('bad', 12)
('lot', 12)
('great', 12)
('2', 11)
('#covid_19', 11)
('can’t', 10)
('pandemic', 10)
('days', 10)
('trump', 9)
"
02/04/2020,"('quarantine', 106)
('people', 32)
('i’m', 31)
('it’s', 28)
('#covid19', 24)
('#quarantine', 20)
('mask', 19)
('shit', 17)
('day', 16)
('good', 15)
('can’t', 13)
('gonna', 13)
('trump', 12)
('better', 12)
('spread', 11)
('great', 11)
('stay', 11)
('things', 10)
('work', 10)
('help', 10)
"
03/04/2020,"('quarantine', 119)
('mask', 39)
('i’m', 33)
('people', 28)
('day', 26)
('#covid19', 21)
('#covid_19', 19)
('stay', 17)
('masks', 13)
('it’s', 13)
('trump', 13)
('#quarantine', 13)
('wear', 12)
('help', 12)
('wearing', 11)
('i’ve', 11)
('today', 10)
('#trumpgenocide', 10)
('@realdonaldtrump', 10)
('work', 10)
"
04/04/2020,"('quarantine', 135)
('mask', 54)
('people', 40)
('it’s', 28)
('i’m', 27)
('day', 25)
('#covid19', 16)
('stay', 15)
('#quarantine', 15)
('saturday', 13)
('wearing', 12)
('good', 12)
('work', 12)
('quarantine.', 12)
('can’t', 11)
('trump', 11)
('mask.', 11)
('i’ve', 11)
('today', 10)
('literally', 10)
"
