date,Fear,Joy,Sadness,Surprise
2020_10_21,0.5910364145658263,0.30532212885154064,0.05042016806722689,0.05322128851540616
2020_10_22,0.6122448979591837,0.3129251700680272,0.04421768707482993,0.030612244897959183
2020_10_23,0.5435540069686411,0.30313588850174217,0.07317073170731707,0.08013937282229965
2020_10_24,0.6,0.24705882352941178,0.09803921568627451,0.054901960784313725
2020_10_25,0.6286919831223629,0.270042194092827,0.06329113924050633,0.0379746835443038
2020_10_26,0.6579804560260586,0.26058631921824105,0.04560260586319218,0.035830618892508145
2020_10_27,0.6376811594202898,0.25,0.050724637681159424,0.06159420289855073
2020_10_28,0.5991902834008097,0.2550607287449393,0.0728744939271255,0.0728744939271255
2020_10_29,0.5975903614457831,0.3156626506024096,0.033734939759036145,0.05301204819277108
2020_10_30,0.5828729281767956,0.3011049723756906,0.06077348066298342,0.055248618784530384
2020_10_31,0.6854304635761589,0.2251655629139073,0.026490066225165563,0.06291390728476821
2020_11_01,0.6354515050167224,0.22742474916387959,0.06020066889632107,0.07692307692307693
2020_11_02,0.6614906832298136,0.2236024844720497,0.055900621118012424,0.059006211180124224
2020_11_03,0.5,0.41,0.05333333333333334,0.03666666666666667
2020_11_04,0.4973821989528796,0.38219895287958117,0.07329842931937172,0.04712041884816754
2020_11_05,0.4956140350877193,0.42543859649122806,0.04824561403508772,0.03070175438596491
2020_11_06,0.591304347826087,0.26956521739130435,0.0782608695652174,0.06086956521739131
2020_11_07,0.5828571428571429,0.24571428571428572,0.10857142857142857,0.06285714285714286
2020_11_08,0.5977011494252874,0.2988505747126437,0.04597701149425287,0.05747126436781609
2020_11_09,0.5875,0.28125,0.04375,0.0875
2020_11_10,0.5040431266846361,0.38274932614555257,0.07816711590296496,0.03504043126684636
2020_11_11,0.5863746958637469,0.340632603406326,0.024330900243309004,0.04866180048661801
2020_11_12,0.5522388059701493,0.3194029850746269,0.056716417910447764,0.07164179104477612
2020_11_13,0.5382165605095541,0.30254777070063693,0.09872611464968153,0.06050955414012739
2020_11_14,0.601063829787234,0.2553191489361702,0.07446808510638298,0.06914893617021277
2020_11_15,0.5274725274725275,0.2893772893772894,0.0695970695970696,0.11355311355311355
2020_11_16,0.5968379446640316,0.2924901185770751,0.04743083003952569,0.06324110671936758
2020_11_17,0.5514018691588785,0.3364485981308411,0.04672897196261682,0.06542056074766354
2020_11_18,0.4529262086513995,0.4223918575063613,0.06615776081424936,0.058524173027989825
2020_11_19,0.6573033707865169,0.24719101123595505,0.05056179775280899,0.0449438202247191
2020_11_20,0.6354430379746835,0.29620253164556964,0.03291139240506329,0.035443037974683546
2020_11_21,0.658,0.276,0.04,0.026
2020_11_22,0.6532258064516129,0.2849462365591398,0.02956989247311828,0.03225806451612903
2020_11_23,0.6190476190476191,0.2962962962962963,0.05555555555555555,0.0291005291005291
2020_11_24,0.6325088339222615,0.254416961130742,0.05653710247349823,0.05653710247349823
2020_11_25,0.5065359477124183,0.39869281045751637,0.0457516339869281,0.049019607843137254
2020_11_26,0.5810276679841897,0.2885375494071146,0.06719367588932806,0.06324110671936758
2020_11_27,0.49454545454545457,0.33090909090909093,0.09090909090909091,0.08363636363636363
2020_11_28,0.5581395348837209,0.31976744186046513,0.0872093023255814,0.03488372093023256
2020_11_29,0.4513888888888889,0.4097222222222222,0.04513888888888889,0.09375
2020_11_30,0.4281767955801105,0.4696132596685083,0.03314917127071823,0.06906077348066299
2020_12_01,0.5432525951557093,0.3356401384083045,0.058823529411764705,0.06228373702422145
2020_12_02,0.4835164835164835,0.42857142857142855,0.040293040293040296,0.047619047619047616
2020_12_03,0.5855513307984791,0.30798479087452474,0.060836501901140684,0.045627376425855515
2020_12_04,0.5478927203065134,0.3218390804597701,0.07662835249042145,0.05363984674329502
2020_12_05,0.5285714285714286,0.30952380952380953,0.09523809523809523,0.06666666666666667
2020_12_06,0.6222222222222222,0.20555555555555555,0.11666666666666667,0.05555555555555555
2020_12_07,0.5859375,0.3098958333333333,0.0390625,0.06510416666666667
2020_12_08,0.5953002610966057,0.2898172323759791,0.04960835509138381,0.06527415143603134
2020_12_09,0.71,0.228,0.03,0.032
2020_12_10,0.7270788912579957,0.2046908315565032,0.031982942430703626,0.03624733475479744
2020_12_11,0.5543478260869565,0.3333333333333333,0.05434782608695652,0.057971014492753624
2020_12_12,0.5879120879120879,0.24725274725274726,0.08241758241758242,0.08241758241758242
2020_12_13,0.6054054054054054,0.2648648648648649,0.05945945945945946,0.07027027027027027
2020_12_14,0.568,0.368,0.026,0.038
2020_12_15,0.5705128205128205,0.36752136752136755,0.023504273504273504,0.038461538461538464
2020_12_16,0.5148247978436657,0.3746630727762803,0.06199460916442048,0.04851752021563342
