date,Fear,Joy,Sadness,Surprise
2020_12_15,0.514,0.276,0.088,0.122
2020_12_16,0.5667351129363449,0.28542094455852157,0.07392197125256673,0.07392197125256673
2020_12_17,0.55,0.258,0.08,0.112
2020_12_18,0.496,0.298,0.054,0.152
2020_12_19,0.596,0.262,0.076,0.066
2020_12_20,0.584,0.25,0.088,0.078
2020_12_21,0.544,0.292,0.092,0.072
2020_12_22,0.52,0.29,0.102,0.088
2020_12_23,0.536,0.316,0.084,0.064
2020_12_24,0.464,0.38,0.09,0.066
2020_12_25,0.466,0.352,0.092,0.09
2020_12_26,0.5020080321285141,0.3092369477911647,0.10843373493975904,0.08032128514056225
2020_12_27,0.54,0.27,0.08,0.11
2020_12_28,0.534,0.318,0.07,0.078
2020_12_29,0.524,0.302,0.07,0.104
2020_12_30,0.536,0.298,0.096,0.07
2020_12_31,0.388,0.434,0.098,0.08
2021_01_01,0.49,0.336,0.068,0.106
2021_01_02,0.588,0.232,0.066,0.114
2021_01_03,0.594,0.28,0.03,0.096
2021_01_04,0.694,0.206,0.034,0.066
2021_01_05,0.648,0.246,0.042,0.064
2021_01_06,0.592,0.262,0.084,0.062
2021_01_07,0.556,0.284,0.106,0.054
2021_01_08,0.564,0.29,0.072,0.074
2021_01_09,0.536,0.324,0.066,0.074
2021_01_10,0.514,0.294,0.088,0.104
2021_01_11,0.536,0.28,0.096,0.088
2021_01_12,0.61,0.272,0.062,0.056
2021_01_13,0.588,0.31,0.04,0.062
2021_01_14,0.572,0.298,0.058,0.072
2021_01_15,0.576,0.314,0.058,0.052
2021_01_16,0.528,0.344,0.06,0.068
2021_01_17,0.574,0.256,0.092,0.078
2021_01_18,0.584,0.284,0.062,0.07
2021_01_19,0.536,0.294,0.092,0.078
2021_01_20,0.54,0.308,0.08,0.072
2021_01_21,0.514,0.364,0.046,0.076
2021_01_22,0.526,0.314,0.048,0.112
2021_01_23,0.544,0.288,0.082,0.086
2021_01_24,0.552,0.298,0.066,0.084
2021_01_25,0.544,0.322,0.052,0.082
2021_01_26,0.616,0.284,0.054,0.046
2021_01_27,0.5291479820627802,0.29596412556053814,0.08071748878923767,0.09417040358744394
2021_01_28,0.532,0.322,0.08,0.066
2021_01_29,0.58,0.31,0.042,0.068
2021_01_30,0.5663716814159292,0.29646017699115046,0.059734513274336286,0.07743362831858407
2021_01_31,0.612,0.238,0.08,0.07
2021_02_01,0.48,0.338,0.094,0.088
2021_02_02,0.556,0.296,0.088,0.06
2021_02_03,0.538,0.27,0.092,0.1
2021_02_04,0.5201698513800425,0.33121019108280253,0.09766454352441614,0.050955414012738856
2021_02_05,0.5655172413793104,0.2988505747126437,0.08045977011494253,0.05517241379310345
2021_02_06,0.5180722891566265,0.363855421686747,0.05783132530120482,0.060240963855421686
2021_02_07,0.5513513513513514,0.3054054054054054,0.05675675675675676,0.08648648648648649
2021_02_08,0.5476190476190477,0.29653679653679654,0.08441558441558442,0.07142857142857142
2021_02_09,0.5213270142180095,0.32701421800947866,0.08056872037914692,0.07109004739336493
2021_02_10,0.5551020408163265,0.31020408163265306,0.061224489795918366,0.07346938775510205
2021_02_11,0.5404814004376368,0.3238512035010941,0.08096280087527352,0.05470459518599562
2021_02_12,0.5482546201232033,0.29774127310061604,0.07392197125256673,0.08008213552361396
2021_02_13,0.525,0.3386363636363636,0.0659090909090909,0.07045454545454545
2021_02_14,0.5107033639143731,0.345565749235474,0.07951070336391437,0.06422018348623854
2021_02_15,0.5546218487394958,0.3137254901960784,0.06722689075630252,0.06442577030812324
2021_02_16,0.5862068965517241,0.27586206896551724,0.07126436781609195,0.06666666666666667
2021_02_17,0.550755939524838,0.31533477321814257,0.07127429805615551,0.06263498920086392
2021_02_18,0.549266247379455,0.3018867924528302,0.07127882599580712,0.07756813417190776
2021_02_19,0.54,0.342,0.05,0.068
2021_02_20,0.5814432989690722,0.25773195876288657,0.08041237113402062,0.08041237113402062
2021_02_21,0.6,0.258,0.076,0.066
2021_02_22,0.63,0.244,0.048,0.078
2021_02_23,0.504,0.312,0.076,0.108
2021_02_24,0.554,0.296,0.06,0.09
2021_02_25,0.5619834710743802,0.2975206611570248,0.06611570247933884,0.0743801652892562
2021_02_26,0.5656565656565656,0.2505050505050505,0.09090909090909091,0.09292929292929293
2021_02_27,0.5357142857142857,0.29831932773109243,0.06722689075630252,0.09873949579831932
2021_02_28,0.5943204868154158,0.281947261663286,0.056795131845841784,0.06693711967545639
2021_03_01,0.524,0.322,0.064,0.09
2021_03_02,0.522,0.322,0.068,0.088
2021_03_03,0.526,0.306,0.054,0.114
2021_03_04,0.496,0.302,0.108,0.094
2021_03_05,0.488,0.362,0.06,0.09
2021_03_06,0.49473684210526314,0.3410526315789474,0.06947368421052631,0.09473684210526316
2021_03_07,0.558,0.31,0.048,0.084
2021_03_08,0.4580498866213152,0.40816326530612246,0.06349206349206349,0.07029478458049887
2021_03_09,0.512,0.34,0.072,0.076
2021_03_10,0.5502008032128514,0.3072289156626506,0.060240963855421686,0.0823293172690763
2021_03_11,0.588,0.306,0.032,0.074
2021_03_12,0.582,0.27,0.074,0.074
2021_03_13,0.59,0.282,0.068,0.06
2021_03_14,0.6,0.238,0.082,0.08
2021_03_15,0.588,0.288,0.054,0.07
2021_03_16,0.55,0.29,0.084,0.076
2021_03_17,0.564,0.26,0.07,0.106
2021_03_18,0.55,0.312,0.076,0.062
2021_03_19,0.632,0.224,0.08,0.064
2021_03_20,0.496,0.33,0.076,0.098
2021_03_21,0.598,0.22,0.086,0.096
2021_03_22,0.602,0.254,0.056,0.088
2021_03_23,0.578,0.286,0.046,0.09
2021_03_24,0.598,0.242,0.084,0.076
2021_03_25,0.602,0.264,0.076,0.058
2021_03_26,0.526,0.262,0.096,0.116
2021_03_27,0.596,0.258,0.07,0.076
2021_03_28,0.544,0.332,0.052,0.072
2021_03_29,0.582,0.28,0.064,0.074
2021_03_30,0.622,0.232,0.062,0.084
2021_03_31,0.61,0.23,0.078,0.082
2021_04_01,0.548,0.288,0.082,0.082
2021_04_02,0.634,0.222,0.074,0.07
2021_04_03,0.596,0.238,0.074,0.092
2021_04_04,0.67,0.198,0.06,0.072
2021_04_05,0.594,0.266,0.066,0.074
2021_04_06,0.61,0.22,0.09,0.08
2021_04_07,0.642,0.204,0.06,0.094
2021_04_08,0.622,0.232,0.054,0.092
2021_04_09,0.63,0.224,0.072,0.074
2021_04_10,0.518,0.3,0.08,0.102
2021_04_11,0.69,0.192,0.074,0.044
2021_04_12,0.6,0.248,0.07,0.082
2021_04_13,0.632,0.22,0.054,0.094
2021_04_14,0.572,0.226,0.114,0.088
2021_04_15,0.544,0.29,0.084,0.082
2021_04_16,0.58,0.252,0.1,0.068
2021_04_17,0.578,0.26,0.088,0.074
2021_04_18,0.584,0.252,0.094,0.07
2021_04_19,0.548,0.27,0.088,0.094
2021_04_20,0.576,0.26,0.094,0.07
2021_04_21,0.55,0.27,0.084,0.096
2021_04_22,0.556,0.25,0.124,0.07
2021_04_23,0.548,0.268,0.108,0.076
2021_04_24,0.606,0.248,0.072,0.074
2021_04_25,0.582,0.276,0.074,0.068
2021_04_26,0.55,0.276,0.094,0.08
2021_04_27,0.528,0.276,0.1,0.096
2021_04_28,0.498,0.29,0.094,0.118
2021_04_29,0.534,0.312,0.088,0.066
2021_04_30,0.494,0.316,0.12,0.07
2021_05_01,0.542,0.278,0.112,0.068
2021_05_02,0.488,0.3,0.124,0.088
