date,Fear,Joy,Sadness,Surprise
2020_11_18,0.566,0.18,0.14,0.114
2020_11_19,0.592,0.192,0.138,0.078
2020_11_20,0.456,0.138,0.138,0.268
2020_11_21,0.51,0.186,0.188,0.116
2020_11_22,0.52,0.2,0.182,0.098
2020_11_23,0.468,0.242,0.152,0.138
2020_11_24,0.486,0.228,0.134,0.152
2020_11_25,0.47,0.224,0.2,0.106
2020_11_26,0.426,0.252,0.188,0.134
2020_11_27,0.454,0.26,0.172,0.114
2020_11_28,0.466,0.15,0.244,0.14
2020_11_29,0.484,0.194,0.182,0.14
2020_11_30,0.462,0.238,0.174,0.126
2020_12_01,0.464,0.254,0.144,0.138
2020_12_02,0.434,0.252,0.172,0.142
2020_12_03,0.54,0.21,0.142,0.108
2020_12_04,0.504,0.216,0.142,0.138
2020_12_05,0.536,0.198,0.158,0.108
2020_12_06,0.51,0.142,0.18,0.168
2020_12_07,0.512,0.232,0.13,0.126
2020_12_08,0.51,0.234,0.136,0.12
2020_12_09,0.516,0.258,0.128,0.098
2020_12_10,0.588,0.236,0.092,0.084
2020_12_11,0.5,0.236,0.162,0.102
2020_12_12,0.392,0.148,0.298,0.162
2020_12_13,0.57,0.214,0.114,0.102
2020_12_14,0.492,0.242,0.118,0.148
2020_12_15,0.47,0.248,0.156,0.126
2020_12_16,0.46,0.284,0.136,0.12
2020_12_17,0.492,0.266,0.118,0.124
2020_12_18,0.496,0.274,0.128,0.102
2020_12_19,0.552,0.184,0.13,0.134
2020_12_20,0.54,0.198,0.146,0.116
2020_12_21,0.52,0.218,0.138,0.124
2020_12_22,0.466,0.264,0.138,0.132
2020_12_23,0.428,0.298,0.156,0.118
2020_12_24,0.328,0.394,0.146,0.132
2020_12_25,0.354,0.326,0.15,0.17
2020_12_26,0.454,0.212,0.212,0.122
2020_12_27,0.496,0.152,0.13,0.222
2020_12_28,0.448,0.26,0.142,0.15
2020_12_29,0.482,0.25,0.116,0.152
2020_12_30,0.448,0.2,0.214,0.138
2020_12_31,0.456,0.26,0.154,0.13
2021_01_01,0.526,0.212,0.136,0.126
2021_01_02,0.522,0.176,0.2,0.102
2021_01_03,0.478,0.172,0.2,0.15
2021_01_04,0.51,0.252,0.138,0.1
2021_01_05,0.468,0.264,0.142,0.126
2021_01_06,0.516,0.222,0.13,0.132
2021_01_07,0.404,0.274,0.204,0.118
2021_01_08,0.462,0.288,0.138,0.112
2021_01_09,0.46,0.258,0.148,0.134
2021_01_10,0.464,0.212,0.168,0.156
2021_01_11,0.454,0.268,0.162,0.116
2021_01_12,0.5,0.256,0.13,0.114
2021_01_13,0.464,0.284,0.132,0.12
2021_01_14,0.46,0.258,0.142,0.14
2021_01_15,0.46,0.294,0.126,0.12
2021_01_16,0.434,0.25,0.158,0.158
2021_01_17,0.488,0.21,0.188,0.114
2021_01_18,0.476,0.29,0.12,0.114
2021_01_19,0.382,0.306,0.23,0.082
2021_01_20,0.49,0.282,0.088,0.14
2021_01_21,0.416,0.318,0.128,0.138
2021_01_22,0.446,0.288,0.142,0.124
2021_01_23,0.488,0.238,0.154,0.12
2021_01_24,0.368,0.198,0.19,0.244
2021_01_25,0.512,0.26,0.106,0.122
2021_01_26,0.478,0.258,0.14,0.124
2021_01_27,0.436,0.31,0.136,0.118
2021_01_28,0.436,0.332,0.106,0.126
2021_01_29,0.474,0.284,0.134,0.108
2021_01_30,0.47,0.264,0.14,0.126
